Price,Close,High,Low,Open,Volume
Ticker,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
Date,,,,,
2000-01-03,13.939940452575684,13.939940452575684,13.611942166495389,13.611942166495389,332590
2000-01-04,14.251533508300781,15.042829979773975,14.021935569398654,14.92393171742194,1687100
2000-01-05,13.689839363098145,14.25973659900498,13.529940318666036,13.939938510140765,1598200
2000-01-06,13.80053424835205,13.939933647386654,13.554536044887895,13.775933802398262,850260
2000-01-07,13.80463695526123,14.02193703822304,13.296240125277855,13.296240125277855,851440
2000-01-10,13.603737831115723,14.718933224920105,13.52993804393639,14.177735828284147,1004340
2000-01-11,13.3987398147583,13.767738779431722,12.873941895452319,13.65293823263397,1457840
2000-01-12,13.566839218139648,13.771838298761875,13.308539938630362,13.427439780755781,859520
2000-01-13,13.538138389587402,13.93173621754904,13.52993823933586,13.93173621754904,482760
2000-01-14,13.566839218139648,13.775937592206018,13.447939376014231,13.775937592206018,581520
2000-01-17,14.653334617614746,14.653334617614746,14.10803632558286,14.267935354368504,1374040
2000-01-18,13.587335586547852,14.653331491031853,13.493036219539006,14.653331491031853,2556520
2000-01-19,14.677933692932129,14.67793369293213,14.103937212124716,14.103937212124716,3498180
2000-01-20,14.645133972167969,15.153530786823772,14.431934752983068,15.153530786823772,2690980
2000-01-21,15.42822551727295,15.743924171899014,14.112130719671232,14.431930230237716,4723290
2000-01-24,16.445026397705078,16.66232492135654,15.825928302142037,16.30152610373127,4493660
2000-01-25,17.761117935180664,17.761117935180664,16.31792440557175,16.31792440557175,2902910
2000-01-26,17.761117935180664,17.761117935180664,17.761117935180664,17.761117935180664,0
2000-01-27,18.835311889648438,19.18381120822484,18.142415673307788,18.36791431237569,5635820
2000-01-28,18.687713623046875,19.105910296946682,18.36791405051011,18.85991206947402,4791650
2000-01-31,19.495410919189453,20.184207908028064,18.868114275933088,18.868114275933088,6373800
2000-02-01,19.7578067779541,20.007905855298343,19.269909629114682,19.35190955736143,3907790
2000-02-02,20.00790786743164,21.34040175238584,19.597909748984193,21.336302459369595,3438320
2000-02-03,18.527812957763672,20.49990431601058,18.40891470138493,20.007906299622608,2846870
2000-02-04,18.773813247680664,19.023912337236002,17.83491722965177,18.85581317993106,2657040
2000-02-07,20.229305267333984,20.278504598856962,18.85991162179913,19.269909700533894,3890350
2000-02-08,20.5614070892334,20.81150463772706,19.688110624039485,20.499906743395705,3052080
2000-02-09,20.70490264892578,21.40189968456461,20.180105616924088,20.90990168505376,3172330
2000-02-10,20.64340591430664,21.483903360294747,20.35640846486746,20.49990718958705,2100860
2000-02-11,19.0321102142334,21.237900333147333,18.99521188831408,20.9181023296981,2648230
2000-02-14,19.14280891418457,19.269908876201917,18.05221413396452,19.269908876201917,2525440
2000-02-15,18.663116455078125,19.269913544982547,18.458117374812353,19.187913600072466,1940870
2000-02-16,20.15961265563965,20.15961265563965,18.859918989078036,20.081713553296876,706000
2000-02-17,20.532705307006836,21.131302149137692,20.348205851824417,21.131302149137692,2341600
2000-02-18,19.893110275268555,20.7459056075307,19.59791110901456,20.581907287182,1187770
2000-02-21,19.36421012878418,20.335905190541904,19.278110902910925,19.946408245681372,1104720
2000-02-22,17.839014053344727,19.679905943291555,17.818514464124146,19.3560071159438,1748060
2000-02-23,17.99481201171875,19.261705897233718,17.834913041588806,18.531909956017763,1345080
2000-02-24,18.613910675048828,18.8599088606676,17.67091398080079,18.203912656338662,878920
2000-02-25,18.613910675048828,19.187906962832066,18.203912656338662,18.855809568648557,1265320
2000-02-28,18.65900993347168,18.859909659315083,18.03991358717095,18.847610218718806,857210
2000-02-29,17.777523040771484,19.597914571588685,17.17892601590148,18.69591817623961,2586880
2000-03-01,19.200210571289062,19.200210571289062,17.875915414888492,17.875915414888492,320940
2000-03-02,20.737707138061523,20.737707138061523,20.499907460787355,20.499907460787355,399360
2000-03-03,22.398197174072266,22.398197174072266,22.398197174072266,22.398197174072266,642940
2000-03-06,21.81599998474121,24.189889517877027,20.90990449850387,24.185790224771054,2036410
2000-03-07,21.172300338745117,21.96769760506626,20.909901821037803,21.729897970882423,1624120
2000-03-08,22.307992935180664,22.869689803024784,21.48389757619822,21.729895770635803,2004770
2000-03-09,22.10709571838379,22.959892475339593,20.58190392462599,22.1521957574176,1339790
2000-03-10,20.840206146240234,21.565901475590408,20.34000791641085,21.422402752615803,1468330
2000-03-13,22.135799407958984,22.508897638323027,20.49990620465896,20.49990620465896,2079820
2000-03-14,21.7627010345459,22.959894798299686,20.991904128392026,22.590895863433815,1782020
2000-03-15,21.307605743408203,22.13990154161624,20.253910554419463,22.13990154161624,827860
2000-03-16,21.069807052612305,21.483906106627643,20.91400730012997,21.483906106627643,1324640
2000-03-17,21.069807052612305,21.069807052612305,21.069807052612305,21.069807052612305,0
2000-03-20,21.069807052612305,21.069807052612305,21.069807052612305,21.069807052612305,0
2000-03-21,20.97550392150879,21.319902407576546,20.22930746236511,21.319902407576546,1601110
2000-03-22,21.414199829101562,21.72989854278271,20.832003298118188,21.2994008655879,761300
2000-03-23,22.992694854736328,23.12799341830686,21.176403094793997,21.176403094793997,2538440
2000-03-24,22.418697357177734,22.775395284137076,21.688901203072277,22.55809678072786,1171540
2000-03-27,22.279294967651367,22.79589184261194,21.832397013177694,22.549893628634237,611310
2000-03-28,22.558095932006836,22.83689476861762,21.97999866633244,22.016898558355,983640
2000-03-29,21.7627010345459,23.611791873883586,21.570001417002754,22.63189661398486,984800
2000-03-30,21.52899932861328,21.811899015770287,20.581904728009015,21.032902007914036,953680
2000-03-31,21.090299606323242,21.319899082566767,20.663902813325947,20.745901173967194,743600
2000-04-03,20.266206741333008,22.38589622337389,19.69220876062345,21.31580246799497,1685880
